(0.144423,-0.626828)
(0.281516,0.9783)
(-0.628851,0.0307886)
(-1.52386,0.331159)
(2.88701,-0.219314)
(-3.24852,0.215457)
(2.23427,-1.40094)
(-1.60003,-0.568279)
(2.64487,-0.704951)
(2.72158,-0.0138305)
(1.49323,-0.306281)
(-1.81497,-0.19484)
(-1.61,-0.491326)
(-0.801797,0.877311)
(2.59111,-1.10662)
(2.61233,0.242485)
(0.808379,0.839214)
(2.57168,-0.68778)
(-1.76536,-0.349665)
(2.12687,0.353522)
(-0.919171,-0.743132)
(1.65807,-0.489148)
(0.380263,-1.62812)
(-1.59993,-0.555148)
(-0.973623,-0.388946)
(3.80088,-0.747776)
(0.488351,1.0603)
(-0.295465,1.57057)
(-0.504071,-0.640452)
(-1.49068,-0.811464)
(-1.08426,-0.0855915)
(-1.47639,-0.40211)
(0.707052,0.177976)
(-0.490427,-0.243901)
(1.41618,0.629072)
(-1.48043,-0.79642)
(1.27643,1.14132)
(0.170746,0.304814)
(1.00379,0.719165)
(-2.20453,-0.399463)
(0.733577,-0.669257)
(0.057485,-0.945441)
(1.65969,0.211002)
(-0.309378,0.482483)
(0.647585,0.860091)
(1.07475,-0.83338)
(-0.692128,0.94882)
(0.0507917,-0.863513)
(-0.567652,0.461494)
(-0.712471,0.919342)
(0.56771,-1.36264)
(0.731199,-0.665247)
(-0.631534,0.886211)
(1.39916,0.362525)
(-1.45838,-0.529906)
(-0.616113,0.153428)
(0.0374846,0.283456)
(-0.187348,-0.0802809)
(-0.27751,-0.931503)
(0.336734,1.09888)
(-0.112245,0.577874)
(0.275793,-0.781627)
(-0.176127,1.00259)
(-1.23971,0.689036)
(0.857083,-0.804476)
(-0.315277,-0.745304)
(-0.346402,0.801133)
(0.201641,-1.24443)
(1.19161,-0.995168)
(-1.32304,1.91948)
(1.08893,-1.41891)
(-0.889587,1.38338)
(1.00909,-0.818576)
(1.19427,0.53218)
(-0.407407,0.859321)
(-0.0340761,0.239729)
(-0.072622,-1.10116)
(0.633526,-1.53529)
(0.553686,-0.934956)
(-1.35656,0.850824)
(-0.956972,1.80127)
(-0.523518,1.26518)
(-2.27573,1.34505)
(-1.01724,-0.949742)
(0.544121,0.320696)
(1.79611,-1.70766)
(-1.97129,1.05447)
(-0.345515,-0.837984)
(-1.81263,0.277413)
(0.840142,-0.702707)
(-0.776132,1.40696)
(0.999528,0.437076)
(-1.51589,1.17085)
(2.44069,-1.2007)
(-1.38331,-0.831533)
(1.43004,-1.58945)
(1.25228,-1.20779)
(-0.599879,1.07804)
(0.322032,-0.350438)
(-1.01052,1.89826)
(1.2308,-1.02274)
(1.04556,0.752667)
(0.444238,-0.192333)
(-0.0494535,0.246834)
(0.0760825,-1.32165)
(-0.133375,-0.466818)
(0.775397,-1.13912)
(-1.41724,1.06344)
(-0.23381,0.959828)
(-0.644451,1.78005)
(-0.013476,-0.834418)
(0.0408097,0.869948)
(0.514446,0.701255)
(-0.167598,-0.636938)
(0.134628,0.96743)
(-0.41519,1.31896)
(0.388229,-1.45578)
(0.31084,-0.0478823)
(-1.05846,0.737575)
(0.779859,-0.538421)
(0.330002,-0.924109)
(-0.158376,0.928189)
(-0.394794,0.787281)
(0.431522,-1.01686)
(-0.383344,1.07027)
(-0.143401,0.724344)
(-0.00439134,-0.954882)
(0.395103,-0.900577)
(0.560406,-1.17516)
(0.435724,-0.926418)
(-0.889865,1.44581)
(-1.71704,1.50975)
(-1.238,0.678476)
(0.619849,-1.02759)
(0.645814,-1.73904)
(0.839932,-1.13571)
(-0.388659,0.974932)
(-1.41566,1.23474)
(1.16233,0.780128)
(-1.59072,1.18894)
(1.97614,-1.73936)
(-0.714406,0.0503478)
(2.28079,-1.12206)
(-1.66597,1.43053)
(0.439324,0.634844)
(-1.88116,1.50469)
(1.36635,-1.29851)
(0.747498,-1.01757)
(0.257392,-0.326361)
(0.982863,-1.26673)
(-1.30836,1.62349)
(-1.03667,0.48385)
(-1.36136,0.670209)
(0.853513,-1.18191)
(0.156567,-0.65893)
(1.19216,-1.3054)
(-0.577733,1.27635)
(0.880515,0.583046)
(-0.379545,-0.716209)
(0.406879,0.751739)
(-0.533667,-0.51873)
(0.500697,0.849222)
(0.194337,-1.05695)
(0.0290339,-0.782368)
(0.0696554,-0.808209)
(1.5284,0.661919)
(-1.04959,1.11653)
(-1.22465,1.07073)
(-0.108677,-0.208153)
(0.381429,-0.89936)
(0.616794,-1.14852)
(-0.0552293,0.0703264)
(-0.0491207,1.20075)
