(-0.0365028,-0.0282942)
(-0.0210921,-0.0726112)
(-0.0290879,-0.0490722)
(-0.00954407,0.00834214)
(-0.0333421,0.0274501)
(-0.0221679,-0.0235104)
(-0.0165069,-0.0245303)
(-0.033836,-0.0243334)
(0.00579456,0.00156747)
(-0.00548139,0.002046)
(0.0901002,0.0458819)
(0.0174492,0.0562679)
(0.11311,0.0252952)
(0.32335,0.0529889)
(0.0334066,0.126529)
(0.104756,0.347295)
(-0.0417889,0.00317202)
(-0.0937605,-0.0184211)
(0.00436171,-0.00997626)
(-0.191952,0.187157)
(-0.290265,0.309942)
(0.040001,-0.00125958)
(-0.0442881,-0.0350544)
(0.00233187,0.0306112)
(-0.20201,-0.0395196)
(-0.374954,-0.152821)
(0.0749965,0.0415239)
(0.0393719,-0.0276032)
(-0.00139823,0.0265897)
(-0.0722857,-0.0882024)
(-0.0196651,-0.269883)
(-0.00864708,0.0502691)
(0.0131544,0.0542962)
(0.00303959,0.0161525)
(-0.0337822,-0.0429075)
(0.0532475,-0.0932528)
(-0.0214293,-0.0253476)
(-0.0654134,-0.0300213)
(-0.0414539,0.0236266)
(-0.0200036,-0.0436306)
(-0.0375048,-0.0202432)
(0.0559102,0.0336323)
(0.112111,-0.035552)
(0.0294002,-0.099069)
(0.381111,-0.0363749)
(0.195329,0.336452)
(0.0372687,0.0867673)
(-0.000349597,-0.0653903)
(-0.210069,0.441905)
(-0.0562649,0.0691915)
(-0.000583849,0.032225)
(-0.463626,-0.102126)
(-0.0460355,-0.0307551)
(-0.0216915,0.0237451)
(-0.0532997,-0.404767)
(0.0225827,-0.0209658)
(-0.00939414,-0.0614485)
(0.202273,-0.100338)
(-0.011718,0.00536499)
(0.0531541,0.00683732)
(0.0958248,-0.00297333)
(0.162211,0.0255518)
(0.0304276,-0.0503509)
(-0.026719,-0.0722585)
(0.359818,-0.131255)
(0.197929,0.250082)
(0.190082,0.125053)
(-0.0158895,-0.04165)
(-0.110419,0.441473)
(0.00759131,0.152064)
(-0.00192384,0.000787926)
(-0.447865,-0.0601814)
(-0.0556814,-0.0137979)
(-0.0203567,0.00308759)
(-0.0895463,-0.463244)
(0.0344668,-0.0428254)
(-0.00219172,-0.0404221)
(0.302611,-0.115682)
(0.0402745,0.0082542)
(0.0458191,-0.0186323)
(0.1882,0.00547461)
(0.0615223,0.0217221)
(-0.00281748,-0.0146529)
(-0.0196457,0.0606957)
(0.381839,-0.0152343)
(0.192047,0.346918)
(0.028948,0.0840212)
(0.0203616,0.0647757)
(-0.202574,0.442294)
(-0.057623,0.0748749)
(0.0129395,-0.0137393)
(-0.462381,-0.106496)
(-0.0422131,-0.031821)
(0.00731461,-0.00358038)
(-0.0569314,-0.401442)
(0.0188754,-0.0240821)
(0.0105282,0.0452724)
(0.200352,-0.0966974)
(-0.0180639,0.00562651)
(-0.0293089,0.0156785)
(0.096642,-0.00205771)
(0.00459476,0.0108078)
(-0.0880896,-0.0146607)
(-0.0515828,0.0882386)
(0.317272,0.0507372)
(0.10588,0.351092)
(-0.0981626,-0.0193587)
(0.00224505,0.0757134)
(-0.283774,0.307479)
(-0.0431323,-0.0327867)
(0.00613163,-0.0402341)
(-0.375756,-0.157342)
(0.0462207,-0.0316386)
(0.0125317,-0.0198664)
(-0.0234563,-0.266622)
(0.0149555,0.0499594)
(0.0133291,0.0684958)
(0.0514122,-0.0906132)
(-0.0684401,-0.0310532)
(-0.0446206,-0.00629891)
(-0.0363466,-0.0189567)
(0.00789358,0.00255174)
(-0.0832914,-0.044573)
(-0.0197213,-0.0560817)
(0.114804,0.0242111)
(0.0436275,0.130326)
(-0.0457354,0.000442339)
(-0.0030673,0.0116522)
(-0.187196,0.182473)
(0.042613,-0.000350258)
(-0.000609211,-0.03354)
(-0.20362,-0.042023)
(0.0806371,0.0395514)
(-0.00299693,-0.0247242)
(-0.075658,-0.0858231)
(-0.00526147,0.0484814)
(-0.00499084,-0.01376)
(-0.0364529,-0.0421874)
(-0.0207696,-0.0241406)
(0.0415152,-0.022383)
(-0.0212366,-0.0428592)
(0.0065466,0.0132335)
(0.00952661,0.00755594)
(0.00101832,-0.00924527)
(-0.00230735,-0.0019377)
(-0.00818951,0.00587994)
(0.00689404,-0.010043)
(0.0124689,0.0193861)
(0.000619375,-0.00546009)
(0.0137813,0.00203405)
(-0.00538936,0.0436576)
(0.00273077,-0.0147272)
(-0.000440609,0.00643805)
(0.0170408,-0.0161372)
(0.0134713,0.0088961)
(-0.000989687,0.00183986)
(-0.00829774,-0.00908902)
(0.000931319,-0.00546936)
(0.0168602,-0.000490617)
(0.199058,0.0464829)
(-0.0335732,-0.00948687)
(0.462174,0.114956)
(-0.00226857,0.00866778)
(0.0138872,-0.00637142)
(0.114717,0.219969)
(0.176958,0.452702)
(0.0413805,-0.140691)
(0.0255964,0.0112038)
(0.0271758,-0.0214406)
(0.0172688,0.000955697)
(-0.0056497,-0.0028682)
(-0.00434352,0.00102999)
(0.00535195,-0.0118937)
(-0.228975,0.156092)
